Season,Player,Position[a],Team,Gamesplayed,Field goals made,Field goals attempted,FG%,Ref.
1946–47,Bob Feerick,F/G,Washington Capitols,55,364,908,0.4009,[3]
1947–48,Buddy Jeannette,G,Baltimore Bullets,46,150,430,0.3488,[4]
1948–49,Arnie Risen,C/F,Rochester Royals,60,345,816,0.4228,[5]
1949–50,Alex Groza,C,Indianapolis Olympians,64,521,1090,0.478,[6]
1950–51,Alex Groza,C,Indianapolis Olympians,66,492,1046,0.4704,[6]
1951–52,Paul Arizin,F/G,Philadelphia Warriors,66,548,1222,0.4484,[7]
1952–53,Ed Macauley,C/F,Boston Celtics,69,451,997,0.4524,[8]
1952–53,Neil Johnston,C,Philadelphia Warriors,70,504,1114,0.4524,[9]
1953–54,Ed Macauley,C/F,Boston Celtics,71,492,950,0.4863,[8]
1954–55,Larry Foust,C/F,Fort Wayne Pistons,70,398,818,0.4866,[10]
1955–56,Neil Johnston,C,Philadelphia Warriors,70,499,1092,0.457,[9]
1956–57,Neil Johnston,C,Philadelphia Warriors,69,520,1163,0.4471,[9]
1957–58,Jack Twyman,F/G,Cincinnati Royals,72,465,1028,0.4523,[11]
1958–59,Ken Sears,F,New York Knicks,71,491,1002,0.49,[12]
1959–60,Ken Sears,F,New York Knicks,64,412,863,0.4774,[12]
1960–61,Wilt Chamberlain,C,Philadelphia Warriors,79,1251,2457,0.5092,[13]
1961–62,Walt Bellamy,C,Chicago Packers,79,973,1875,0.5189,[14]
1962–63,Wilt Chamberlain,C,San Francisco Warriors,80,1463,2770,0.5282,[13]
1963–64,Jerry Lucas,F/C,Cincinnati Royals,79,545,1035,0.5266,[15]
1964–65,Wilt Chamberlain,C,San Francisco WarriorsPhiladelphia 76ers,73,1063,2083,0.5103,[13]
1965–66,Wilt Chamberlain,C,Philadelphia 76ers,79,1074,1990,0.5397,[13]
1966–67,Wilt Chamberlain,C,Philadelphia 76ers,81,785,1150,0.6826,[13]
1967–68,Wilt Chamberlain,C,Philadelphia 76ers,82,819,1377,0.5948,[13]
1968–69,Wilt Chamberlain,C,Los Angeles Lakers,81,641,1099,0.5833,[13]
1969–70,Johnny Green,F/C,Cincinnati Royals,78,481,860,0.5593,[16]
1970–71,Johnny Green,F/C,Cincinnati Royals,75,502,855,0.5871,[16]
1971–72,Wilt Chamberlain,C,Los Angeles Lakers,82,496,764,0.6492,[13]
1972–73,Wilt Chamberlain,C,Los Angeles Lakers,82,426,586,0.727,[13]
1973–74,Bob McAdoo,C/F,Buffalo Braves,74,901,1647,0.5471,[17]
1974–75,Don Nelson,F,Boston Celtics,79,423,785,0.5389,[18]
