Year,No. of teams
1946,11.0
1947,8.0
1948,12.0
1949,17.0
1950,11.0
1951,10.0
1952,10.0
1953,9.0
1954,9.0
1955,8.0
1956,8.0
1957,8.0
1958,8.0
1959,8.0
1960,8.0
1961,9.0
1962,9.0
1963,9.0
1964,9.0
1965,9.0
1966,10.0
1967,12.0
1968,14.0
1969,14.0
1970,17.0
1971,17.0
1972,17.0
1973,17.0
1974,18.0
1975,18.0
1976,22.0
1977,22.0
1978,22.0
1979,22.0
1980,23.0
1981,23.0
1982,23.0
1983,23.0
1984,23.0
1985,23.0
1986,23.0
1987,23.0
1988,25.0
1989,27.0
1990,27.0
1991,27.0
1992,27.0
1993,27.0
1994,27.0
1995,29.0
1996,29.0
1997,29.0
1998,29.0
1999,29.0
2000,29.0
2001,29.0
2002,29.0
2003,29.0
2004,30.0
2005,30.0
2006,30.0
2007,30.0
2008,30.0
2009,30.0
2010,30.0
2011,30.0
2012,30.0
2013,30.0
2014,30.0
2015,30.0
2016,30.0
2017,30.0
2018,30.0
